,Temp,Humidity,Cloud Cover,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,avgjune,sub,flood
Temp,1.0,-0.012727398346607962,-0.04656786555982442,-0.0630140780278386,-0.08007622799151136,0.09951929621414271,-0.08196513196682569,-0.0630336133132837,-0.01975066406154431,-0.08833133611674805,-0.08094622733285754
Humidity,-0.012727398346607962,1.0,0.08582351704242394,-0.0547666383212025,-0.18596526249850248,-0.10123216617844756,-0.02958259929258957,0.05973884681810429,0.017655572647498383,0.029980527422564875,0.020249673018209652
Cloud Cover,-0.04656786555982442,0.08582351704242394,1.0,0.05116605173225982,0.004376479476934852,0.0966447947736769,0.010832605939646925,0.020965800807242967,-0.08984347091717647,-0.1064545073113562,0.0898009756704495
ANNUAL,-0.0630140780278386,-0.0547666383212025,0.05116605173225982,1.0,0.03363850235908692,0.3877899620355779,0.861190405916367,0.2320686368477385,0.47464357469808793,0.22000875247873528,0.6268735373807425
Jan-Feb,-0.08007622799151136,-0.18596526249850248,0.004376479476934852,0.03363850235908692,1.0,0.06647912798645557,0.0011775224563742288,-0.14367033419729566,0.16469085266145714,0.20126627398339106,-0.0844461985489753
Mar-May,0.09951929621414271,-0.10123216617844756,0.0966447947736769,0.3877899620355779,0.06647912798645557,1.0,-0.02900651924714888,0.1718045117857824,0.019183142642885058,-0.4757501430401939,-0.01759804332599039
Jun-Sep,-0.08196513196682569,-0.02958259929258957,0.010832605939646925,0.861190405916367,0.0011775224563742288,-0.02900651924714888,1.0,-0.14146724509905476,0.5111132832704968,0.4319972570128331,0.70520217576761
Oct-Dec,-0.0630336133132837,0.05973884681810429,0.020965800807242967,0.2320686368477385,-0.14367033419729566,0.1718045117857824,-0.14146724509905476,1.0,-0.028055249624277506,-0.050862476973894837,-0.024851851545037426
avgjune,-0.01975066406154431,0.017655572647498383,-0.08984347091717647,0.47464357469808793,0.16469085266145714,0.019183142642885058,0.5111132832704968,-0.028055249624277506,1.0,0.7804453894959601,0.3797780983528066
sub,-0.08833133611674805,0.029980527422564875,-0.1064545073113562,0.22000875247873528,0.20126627398339106,-0.4757501430401939,0.4319972570128331,-0.050862476973894837,0.7804453894959601,1.0,0.34982844974591076
flood,-0.08094622733285754,0.020249673018209652,0.0898009756704495,0.6268735373807425,-0.0844461985489753,-0.01759804332599039,0.70520217576761,-0.024851851545037426,0.3797780983528066,0.34982844974591076,1.0
